id	title	status	official_url	pdf_url	filename
R18	Native and Compact Structured Latents for 3D Generation	CVPR 2026	https://openaccess.thecvf.com/content/CVPR2026/html/Xiang_Native_and_Compact_Structured_Latents_for_3D_Generation_CVPR_2026_paper.html	https://openaccess.thecvf.com/content/CVPR2026/papers/Xiang_Native_and_Compact_Structured_Latents_for_3D_Generation_CVPR_2026_paper.pdf	R18_Native_Compact_Structured_Latents_O_Voxel.pdf
R19	LATTICE: Democratize High-Fidelity 3D Generation at Scale	CVPR 2026	https://openaccess.thecvf.com/content/CVPR2026/html/Lai_LATTICE_Democratize_High-Fidelity_3D_Generation_at_Scale_CVPR_2026_paper.html	https://openaccess.thecvf.com/content/CVPR2026/papers/Lai_LATTICE_Democratize_High-Fidelity_3D_Generation_at_Scale_CVPR_2026_paper.pdf	R19_LATTICE.pdf
R20	AssetGen: Deployable 3D Asset Generation at Interactive Speed	arXiv 2026 preprint	https://arxiv.org/abs/2605.26137	https://arxiv.org/pdf/2605.26137	R20_AssetGen_Deployable_Interactive_Speed.pdf
R21	Omni123: Exploring 3D Native Foundation Models with Limited 3D Data by Unifying Text to 2D and 3D Generation	arXiv 2026 preprint	https://arxiv.org/abs/2604.02289	https://arxiv.org/pdf/2604.02289	R21_Omni123.pdf
R22	Text-Image Conditioned 3D Generation	CVPR 2026	https://openaccess.thecvf.com/content/CVPR2026/html/Cen_Text-Image_Conditioned_3D_Generation_CVPR_2026_paper.html	https://openaccess.thecvf.com/content/CVPR2026/papers/Cen_Text-Image_Conditioned_3D_Generation_CVPR_2026_paper.pdf	R22_TIGON_Text_Image_Conditioned_3D_Generation.pdf
R23	SpaceControl: Introducing Test-Time Spatial Control to 3D Generative Modeling	ICLR 2026	https://openreview.net/forum?id=mEqsCVI5sN	https://arxiv.org/pdf/2512.05343	R23_SpaceControl.pdf
R24	DreamCS: Geometry-Aware Text-to-3D Generation with Unpaired 3D Reward Supervision	ICLR 2026	https://openreview.net/forum?id=PoU33ZdtCP	https://arxiv.org/pdf/2506.09814	R24_DreamCS.pdf
R25	Are We Ready for RL in Text-to-3D Generation? A Progressive Investigation	CVPR 2026	https://arxiv.org/abs/2512.10949	https://arxiv.org/pdf/2512.10949	R25_AR3D_R1_RL_Text_to_3D.pdf
R26	CADCrafter: Generating Computer-Aided Design Models from Unconstrained Images	arXiv 2025 preprint	https://arxiv.org/abs/2504.04753	https://arxiv.org/pdf/2504.04753	R26_CADCrafter.pdf
R27	SOPHY: Generating Simulation-Ready Objects with Physical Materials	arXiv 2025 preprint	https://arxiv.org/abs/2504.12684	https://arxiv.org/pdf/2504.12684	R27_SOPHY.pdf
R28	AniGen: Unified S3 Fields for Animatable 3D Asset Generation	arXiv 2026 preprint	https://arxiv.org/abs/2604.08746	https://arxiv.org/pdf/2604.08746	R28_AniGen.pdf
R29	VGGT: Visual Geometry Grounded Transformer	CVPR 2025	https://arxiv.org/abs/2503.11651	https://openaccess.thecvf.com/content/CVPR2025/papers/Wang_VGGT_Visual_Geometry_Grounded_Transformer_CVPR_2025_paper.pdf	R29_VGGT.pdf
R30	Prometheus: 3D-Aware Latent Diffusion Models for Feed-Forward Text-to-3D Scene Generation	CVPR 2025	https://openaccess.thecvf.com/content/CVPR2025/html/Yang_Prometheus_3D-Aware_Latent_Diffusion_Models_for_Feed-Forward_Text-to-3D_Scene_Generation_CVPR_2025_paper.html	https://openaccess.thecvf.com/content/CVPR2025/papers/Yang_Prometheus_3D-Aware_Latent_Diffusion_Models_for_Feed-Forward_Text-to-3D_Scene_Generation_CVPR_2025_paper.pdf	R30_Prometheus.pdf
R31	LT3SD: Latent Trees for 3D Scene Diffusion	CVPR 2025	https://openaccess.thecvf.com/content/CVPR2025/html/Meng_LT3SD_Latent_Trees_for_3D_Scene_Diffusion_CVPR_2025_paper.html	https://openaccess.thecvf.com/content/CVPR2025/papers/Meng_LT3SD_Latent_Trees_for_3D_Scene_Diffusion_CVPR_2025_paper.pdf	R31_LT3SD.pdf
R32	Direct Numerical Layout Generation for 3D Indoor Scene Synthesis via Spatial Reasoning	NeurIPS 2025	https://openreview.net/forum?id=Qku7g56aWf	https://arxiv.org/pdf/2506.05341	R32_DirectLayout.pdf
R33	HunyuanWorld 1.0: Generating Immersive, Explorable, and Interactive 3D Worlds from Words or Pixels	arXiv 2025 technical report	https://arxiv.org/abs/2507.21809	https://arxiv.org/pdf/2507.21809	R33_HunyuanWorld_1_0.pdf
R34	WonderZoom: Multi-Scale 3D World Generation	CVPR 2026	https://openaccess.thecvf.com/content/CVPR2026/html/Cao_WonderZoom_Multi-Scale_3D_World_Generation_CVPR_2026_paper.html	https://openaccess.thecvf.com/content/CVPR2026/papers/Cao_WonderZoom_Multi-Scale_3D_World_Generation_CVPR_2026_paper.pdf	R34_WonderZoom.pdf
R35	WorldGen: From Text to Traversable and Interactive 3D Worlds	CVPR 2026	https://openaccess.thecvf.com/content/CVPR2026/html/Wang_WorldGen_From_Text_to_Traversable_and_Interactive_3D_Worlds_CVPR_2026_paper.html	https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_WorldGen_From_Text_to_Traversable_and_Interactive_3D_Worlds_CVPR_2026_paper.pdf	R35_WorldGen.pdf
R36	Gen3R: 3D Scene Generation Meets Feed-Forward Reconstruction	CVPR 2026	https://openaccess.thecvf.com/content/CVPR2026/html/Huang_Gen3R_3D_Scene_Generation_Meets_Feed-Forward_Reconstruction_CVPR_2026_paper.html	https://openaccess.thecvf.com/content/CVPR2026/papers/Huang_Gen3R_3D_Scene_Generation_Meets_Feed-Forward_Reconstruction_CVPR_2026_paper.pdf	R36_Gen3R.pdf
R37	SAGE: Scalable Agentic 3D Scene Generation for Embodied AI	CVPR 2026	https://arxiv.org/abs/2602.10116	https://openaccess.thecvf.com/content/CVPR2026/papers/Xia_SAGE_Scalable_Agentic_3D_Scene_Generation_for_Embodied_AI_CVPR_2026_paper.pdf	R37_SAGE.pdf
R38	D3D-GEN: Robot-Aware Domain-Grounded Interactive 3D World Generation for Social Robotics	arXiv 2026 preprint	https://arxiv.org/abs/2608.11876	https://arxiv.org/pdf/2608.11876	R38_D3D_GEN.pdf
R39	PerpetualWonder: Long-horizon Action-conditioned 4D Scene Generation	CVPR 2026	https://openaccess.thecvf.com/content/CVPR2026/html/Zhan_PerpetualWonder_Long-horizon_Action-conditioned_4D_Scene_Generation_CVPR_2026_paper.html	https://openaccess.thecvf.com/content/CVPR2026/papers/Zhan_PerpetualWonder_Long-horizon_Action-conditioned_4D_Scene_Generation_CVPR_2026_paper.pdf	R39_PerpetualWonder.pdf
R40	WorldReel: 4D Video Generation with Consistent Geometry and Motion Modeling	CVPR 2026	https://openaccess.thecvf.com/content/CVPR2026/html/Fang_WorldReel_4D_Video_Generation_with_Consistent_Geometry_and_Motion_Modeling_CVPR_2026_paper.html	https://openaccess.thecvf.com/content/CVPR2026/papers/Fang_WorldReel_4D_Video_Generation_with_Consistent_Geometry_and_Motion_Modeling_CVPR_2026_paper.pdf	R40_WorldReel.pdf
R41	4DWorldBench: A Comprehensive Evaluation Framework for 3D/4D World Generation Models	CVPR 2026	https://openaccess.thecvf.com/content/CVPR2026/html/Lu_4DWorldBench_A_Comprehensive_Evaluation_Framework_for_3D4D_World_Generation_Models_CVPR_2026_paper.html	https://openaccess.thecvf.com/content/CVPR2026/papers/Lu_4DWorldBench_A_Comprehensive_Evaluation_Framework_for_3D4D_World_Generation_Models_CVPR_2026_paper.pdf	R41_4DWorldBench.pdf
R42	Efficiently Reconstructing Dynamic Scenes One D4RT at a Time	CVPR 2026	https://d4rt-paper.github.io/	https://openaccess.thecvf.com/content/CVPR2026/papers/Zhang_Efficiently_Reconstructing_Dynamic_Scenes_One_D4RT_at_a_Time_CVPR_2026_paper.pdf	R42_D4RT.pdf
R43	VGGT-Omega	CVPR 2026	https://vggt-omega.github.io/	https://arxiv.org/pdf/2605.15195	R43_VGGT_Omega.pdf
R44	World-R1: Reinforcing 3D Constraints for Text-to-Video Generation	ICML 2026 / arXiv	https://arxiv.org/abs/2604.24764	https://arxiv.org/pdf/2604.24764	R44_World_R1.pdf
R45	Endless World: Real-Time 3D-Aware Long Video Generation	CVPR 2026	https://bwgzk-keke.github.io/EndlessWorld/	https://openaccess.thecvf.com/content/CVPR2026/papers/Zhang_Endless_World_Real-Time_3D-Aware_Long_Video_Generation_CVPR_2026_paper.pdf	R45_Endless_World.pdf
R46	PointWorld: Scaling 3D World Models for In-The-Wild Robotic Manipulation	CVPR 2026 Highlight	https://point-world.github.io/	https://openaccess.thecvf.com/content/CVPR2026/papers/Huang_PointWorld_Scaling_3D_World_Models_for_In-The-Wild_Robotic_Manipulation_CVPR_2026_paper.pdf	R46_PointWorld.pdf
R47	Voyager: Long-Range and World-Consistent Video Diffusion for Explorable 3D Scene Generation	arXiv 2025 technical report	https://github.com/Tencent-Hunyuan/HunyuanWorld-Voyager	https://3d-models.hunyuan.tencent.com/voyager/voyager_en/assets/HYWorld_Voyager.pdf	R47_HunyuanWorld_Voyager.pdf
R48	4D-LRM: Large Space-Time Reconstruction Model From and To Any View at Any Time	arXiv 2025 preprint	https://arxiv.org/abs/2506.18890	https://arxiv.org/pdf/2506.18890	R48_4D_LRM.pdf
R49	DGS-LRM: Real-Time Deformable 3D Gaussian Reconstruction From Monocular Videos	arXiv 2025 preprint	https://arxiv.org/abs/2506.09997	https://arxiv.org/pdf/2506.09997	R49_DGS_LRM.pdf
R50	GEN3C: 3D-Informed World-Consistent Video Generation with Precise Camera Control	CVPR 2025 Highlight	https://research.nvidia.com/labs/toronto-ai/GEN3C/	https://openaccess.thecvf.com/content/CVPR2025/papers/Ren_GEN3C_3D-Informed_World-Consistent_Video_Generation_with_Precise_Camera_Control_CVPR_2025_paper.pdf	R50_GEN3C.pdf
R51	World-consistent Video Diffusion with Explicit 3D Modeling	CVPR 2025 Highlight	https://machinelearning.apple.com/research/world-consistent	https://openaccess.thecvf.com/content/CVPR2025/papers/Zhang_World-consistent_Video_Diffusion_with_Explicit_3D_Modeling_CVPR_2025_paper.pdf	R51_World_Consistent_Video_Diffusion.pdf
R52	Cosmos World Foundation Model Platform for Physical AI	arXiv 2025 technical report	https://research.nvidia.com/publication/2025-01_cosmos-world-foundation-model-platform-physical-ai	https://d1qx31qr3h6wln.cloudfront.net/publications/NVIDIA%20Cosmos_4.pdf	R52_NVIDIA_Cosmos_WFM.pdf
